yyyyq,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
18761,4.51,0.3000,0.3400,,,,,,,,,0.013552,0.066519,0.066372,0.075388,0.882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18762,4.15,0.3000,0.3200,,,,,,,,,0.010851,0.072289,0.071770,0.077108,0.937500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18763,3.69,0.3000,0.3000,,,,,,,,,0.009434,0.081301,0.076336,0.081301,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18764,3.58,0.3000,0.2800,,,,,,,,,0.009434,0.083799,0.083333,0.078212,1.071429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18771,3.17,0.2725,0.2850,,,,,,,,,0.011936,0.085962,0.081587,0.089905,0.956140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18772,2.73,0.2450,0.2900,,,,,,,,,0.008748,0.089744,0.083333,0.106227,0.844828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18773,3.24,0.2175,0.2950,,,,,,,,,0.007907,0.067130,0.071311,0.091049,0.737288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18774,3.25,0.1900,0.3000,,,,,,,,,0.013043,0.058462,0.058282,0.092308,0.633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18781,3.24,0.1875,0.3025,,,,,,,,,0.011360,0.057870,0.058962,0.093364,0.619835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18782,3.41,0.1850,0.3050,,,,,,,,,0.010253,0.054252,0.055389,0.089443,0.606557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18783,3.52,0.1825,0.3075,,,,,,,,,0.007353,0.051847,0.052899,0.087358,0.593496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18784,3.45,0.1800,0.3100,,,,,,,,,0.009146,0.052174,0.051873,0.089855,0.580645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18791,3.65,0.1850,0.3275,,,,,,,,,0.010120,0.050685,0.049865,0.089726,0.564885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18792,3.96,0.1900,0.3450,,,,,,,,,0.010120,0.047980,0.048223,0.087121,0.550725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18793,4.22,0.1950,0.3625,,,,,,,,,0.008327,0.046209,0.047912,0.085900,0.537931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18794,4.92,0.2000,0.3800,,,,,,,,,0.011714,0.040650,0.040568,0.077236,0.526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18801,5.30,0.2150,0.4075,,,,,,,,,0.012091,0.040566,0.041346,0.076887,0.527607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18802,4.79,0.2300,0.4350,,,,,,,,,0.011095,0.048017,0.048218,0.090814,0.528736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18803,5.18,0.2450,0.4625,,,,,,,,,0.008991,0.047297,0.047206,0.089286,0.529730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18804,5.84,0.2600,0.4900,,,,,,,,,0.010541,0.044521,0.046346,0.083904,0.530612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18811,6.24,0.2750,0.4775,,,,,,,,,0.012201,0.044071,0.044571,0.076522,0.575916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18812,6.58,0.2900,0.4650,,,,,,,,,0.011205,0.044073,0.044615,0.070669,0.623656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18813,6.25,0.3050,0.4525,,,,,,,,,0.006667,0.048800,0.049194,0.072400,0.674033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18814,6.01,0.3200,0.4400,,,,,,,,,0.011515,0.053245,0.051696,0.073211,0.727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18821,5.78,0.3200,0.4375,,,,,,,,,0.012755,0.055363,0.055268,0.075692,0.731429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18822,5.68,0.3200,0.4350,,,,,,,,,0.011404,0.056338,0.056042,0.076585,0.735632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18823,6.24,0.3200,0.4325,,,,,,,,,0.010253,0.051282,0.051780,0.069311,0.739884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18824,5.84,0.3200,0.4300,,,,,,,,,0.013862,0.054795,0.055077,0.073630,0.744186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18831,5.75,0.3225,0.4225,,,,,,,,,0.011936,0.056087,0.056778,0.073478,0.763314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18832,5.82,0.3250,0.4150,,,,,,,,,0.013043,0.055842,0.056326,0.071306,0.783133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18833,5.53,0.3275,0.4075,,,,,,,,,0.011095,0.059222,0.059872,0.073689,0.803681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18834,5.34,0.3300,0.4000,,,,,,,,,0.012201,0.061798,0.060440,0.074906,0.825000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18841,5.30,0.3250,0.3775,,,,,,,,,0.011095,0.061321,0.061090,0.071226,0.860927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18842,4.46,0.3200,0.3550,,,,,,,,,0.009146,0.071749,0.068817,0.079596,0.901408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18843,4.59,0.3150,0.3325,,,,,,,,,0.011648,0.068627,0.066456,0.072440,0.947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18844,4.34,0.3100,0.3100,,,,,,,,,0.011095,0.071429,0.071264,0.071429,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18851,4.38,0.2925,0.3000,,,,,,,,,0.009988,0.066781,0.066934,0.068493,0.975000,,,,,,,,0.003084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18852,4.30,0.2750,0.2900,,,,,,,,,0.008814,0.063953,0.063657,0.067442,0.948276,,,,,,,,0.004701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18853,4.65,0.2575,0.2800,,,,,,,,,0.006778,0.055376,0.054671,0.060215,0.919643,,,,,,,,0.007119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18854,5.20,0.2400,0.2700,,,,,,,,,0.007220,0.046154,0.045802,0.051923,0.888889,,,,,,,,0.008836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18861,5.19,0.2350,0.2850,,,,,,,,,0.008881,0.045279,0.044340,0.054913,0.824561,,,,,,,,0.005109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18862,5.25,0.2300,0.3000,,,,,,,,,0.007486,0.043810,0.045817,0.057143,0.766667,,,,,,,,0.004415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18863,5.51,0.2250,0.3150,,,,,,,,,0.007442,0.040835,0.041899,0.057169,0.714286,,,,,,,,0.002837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18864,5.64,0.2200,0.3300,,,,,,,,,0.011781,0.039007,0.037997,0.058511,0.666667,,,,,,,,0.004098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18871,5.67,0.2275,0.3375,,,,,,,,,0.012135,0.040123,0.041065,0.059524,0.674074,,,,,,,,0.004490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18872,5.73,0.2350,0.3450,,,,,,,,,0.010762,0.041012,0.039831,0.060209,0.681159,,,,,,,,0.002197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18873,5.38,0.2425,0.3525,,,,,,,,,0.010275,0.045074,0.044495,0.065520,0.687943,,,,,,,,0.006035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18874,5.27,0.2500,0.3600,,,,,,,,,0.014282,0.047438,0.047170,0.068311,0.694444,,,,,,,,0.005576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18881,5.08,0.2450,0.3350,,,,,,,,,0.012201,0.048228,0.046402,0.065945,0.731343,,,,,,,,0.002355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18882,5.01,0.2400,0.3100,,,,,,,,,0.010475,0.047904,0.046422,0.061876,0.774194,,,,,,,,0.003310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18883,5.38,0.2350,0.2850,,,,,,,,,0.008327,0.043680,0.044762,0.052974,0.824561,,,,,,,,0.004087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18884,5.14,0.2300,0.2600,,,,,,,,,0.010608,0.044747,0.043893,0.050584,0.884615,,,,,,,,0.003098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18891,5.19,0.2275,0.2700,,,,,,,,,0.009921,0.043834,0.042925,0.052023,0.842593,,,,,,,,0.001699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18892,5.41,0.2250,0.2800,,,,,,,,,0.008881,0.041590,0.042293,0.051756,0.803571,,,,,,,,0.001030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18893,5.50,0.2225,0.2900,,,,,,,,,0.007508,0.040455,0.041434,0.052727,0.767241,,,,,,,,0.001769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18894,5.32,0.2200,0.3000,,,,,,,,,0.010608,0.041353,0.041121,0.056391,0.733333,,,,,,,,0.002376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18901,5.28,0.2200,0.2975,,,,,,,,,0.012401,0.041667,0.041353,0.056345,0.739496,,,,,,,,0.000823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18902,5.58,0.2200,0.2950,,,,,,,,,0.011095,0.039427,0.039146,0.052867,0.745763,,,,,,,,0.002036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18903,5.32,0.2200,0.2925,,,,,,,,,0.009988,0.041353,0.040665,0.054981,0.752137,,,,,,,,0.003417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18904,4.60,0.2200,0.2900,,,,,,,,,0.011648,0.047826,0.046709,0.063043,0.758621,,,,,,,,0.016345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18911,4.81,0.2200,0.3025,,,,,,,,,0.015146,0.045738,0.044898,0.062890,0.727273,,,,,,,,0.003508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18912,4.85,0.2200,0.3150,,,,,,,,,0.010541,0.045361,0.044444,0.064948,0.698413,,,,,,,,0.004323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18913,5.33,0.2200,0.3275,,,,,,,,,0.011095,0.041276,0.044625,0.061445,0.671756,,,,,,,,0.004666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18914,5.41,0.2200,0.3400,,,,,,,,,0.011714,0.040665,0.041905,0.062847,0.647059,,,,,,,,0.003626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18921,5.58,0.2250,0.3475,,,,,,,,,0.009611,0.040323,0.040761,0.062276,0.647482,,,,,,,,0.003891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18922,5.54,0.2300,0.3550,,,,,,,,,0.007730,0.041516,0.041293,0.064079,0.647887,,,,,,,,0.002117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18923,5.48,0.2350,0.3625,,,,,,,,,0.005449,0.042883,0.041815,0.066150,0.648276,,,,,,,,0.002783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18924,5.51,0.2400,0.3700,,,,,,,,,0.009346,0.043557,0.043088,0.067151,0.648649,,,,,,,,0.002095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18931,5.31,0.2425,0.3425,,,,,,,,,0.011095,0.045669,0.044011,0.064501,0.708029,,,,,,,,0.003859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18932,4.61,0.2450,0.3150,,,,,,,,,0.013972,0.053145,0.050620,0.068330,0.777778,,,,,,,,0.010667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18933,4.37,0.2475,0.2875,,,,,,,,,0.017670,0.056636,0.060662,0.065789,0.860870,,,,,,,,0.031569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18934,4.41,0.2500,0.2600,,,,,,,,,0.017249,0.056689,0.054705,0.058957,0.961538,,,,,,,,0.008489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18941,4.51,0.2400,0.2350,,,,,,,,,0.007021,0.053215,0.054795,0.052106,1.021277,,,,,,,,0.004715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18942,4.34,0.2300,0.2100,,,,,,,,,0.005626,0.052995,0.052273,0.048387,1.095238,,,,,,,,0.003389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18943,4.48,0.2200,0.1850,,,,,,,,,0.005361,0.049107,0.049887,0.041295,1.189189,,,,,,,,0.004169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18944,4.30,0.2100,0.1600,,,,,,,,,0.006180,0.048837,0.048387,0.037209,1.312500,,,,,,,,0.004465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18951,4.19,0.2050,0.1825,,,,,,,,,0.005294,0.048926,0.048926,0.043556,1.123288,,,,,,,,0.003497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18952,4.70,0.2000,0.2050,,,,,,,,,0.007575,0.042553,0.043384,0.043617,0.975610,,,,,,,,0.004810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18953,4.82,0.1950,0.2275,,,,,,,,,0.004719,0.040456,0.040710,0.047199,0.857143,,,,,,,,0.003438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18954,4.32,0.1900,0.2500,,,,,,,,,0.007840,0.043981,0.041394,0.057870,0.760000,,,,,,,,0.016945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18961,4.38,0.1875,0.2400,,,,,,,,,0.009434,0.042808,0.042135,0.054795,0.781250,,,,,,,,0.006731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18962,4.32,0.1850,0.2300,,,,,,,,,0.010475,0.042824,0.042045,0.053241,0.804348,,,,,,,,0.006052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18963,4.01,0.1825,0.2200,,,,,,,,,0.008327,0.045511,0.047900,0.054863,0.829545,,,,,,,,0.019960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18964,4.22,0.1800,0.2100,,,,,,,,,0.017293,0.042654,0.041096,0.049763,0.857143,,,,,,,,0.013690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18971,4.19,0.1800,0.2350,,,,,,,,,0.007176,0.042959,0.043062,0.056086,0.765957,,,,,,,,0.004372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18972,4.27,0.1800,0.2600,,,,,,,,,0.006291,0.042155,0.044118,0.060890,0.692308,,,,,,,,0.004343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18973,4.98,0.1800,0.2850,,,,,,,,,0.005826,0.036145,0.037895,0.057229,0.631579,,,,,,,,0.006196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18974,4.75,0.1800,0.3100,,,,,,,,,0.007995,0.037895,0.038710,0.065263,0.580645,,,,,,,,0.007840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18981,4.65,0.1850,0.3200,,,,,,,,,0.006490,0.039785,0.037988,0.068817,0.578125,,,,,,,,0.015846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18982,5.06,0.1900,0.3300,,,,,,,,,0.009213,0.037549,0.039014,0.065217,0.575758,,,,,,,,0.010270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18983,5.26,0.1950,0.3400,,,,,,,,,0.006091,0.037072,0.037002,0.064639,0.573529,,,,,,,,0.003646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18984,5.65,0.2000,0.3500,,,,,,,,,0.008017,0.035398,0.037594,0.061947,0.571429,,,,,,,,0.002662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18991,6.40,0.2025,0.3825,,,,,,,,,0.005626,0.031641,0.032092,0.059766,0.529412,,,,,,,,0.003897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18992,6.07,0.2050,0.4150,,,,,,,,,0.007464,0.033773,0.033011,0.068369,0.493976,,,,,,,,0.007835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18993,6.37,0.2075,0.4475,,,,,,,,,0.006246,0.032575,0.032220,0.070251,0.463687,,,,,,,,0.003274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18994,6.02,0.2100,0.4800,,,,,,,,,0.009855,0.034884,0.032508,0.079734,0.437500,,,,,,,,0.012091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19001,6.26,0.2325,0.4800,,,,,,,,,0.011936,0.037141,0.037440,0.076677,0.484375,,,,,,,,0.004492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19002,5.86,0.2550,0.4800,,,,,,,,,0.009722,0.043515,0.042219,0.081911,0.531250,,,,,,,,0.004688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19003,5.80,0.2775,0.4800,,,,,,,,,0.007065,0.047845,0.046717,0.082759,0.578125,,,,,,,,0.003038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19004,6.87,0.3000,0.4800,,,,,,,,,0.008527,0.043668,0.046296,0.069869,0.625000,,,,,,,,0.004942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19011,7.51,0.3050,0.4850,,,,,,,,,0.009434,0.040613,0.042069,0.064581,0.628866,,,,,,,,0.003920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19012,8.50,0.3100,0.4900,,,,,,,,,0.007220,0.036471,0.040103,0.057647,0.632653,,,,,,,,0.018050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19013,8.00,0.3150,0.4950,,,,,,,,,0.007641,0.039375,0.039179,0.061875,0.636364,,,,,,,,0.012270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19014,7.95,0.3200,0.5000,,,,,,,,,0.009855,0.040252,0.039604,0.062893,0.640000,,,,,,,,0.003052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19021,8.20,0.3225,0.5325,,,,,,,,,0.009855,0.039329,0.039377,0.064939,0.605634,,,,,,,,0.001702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19022,8.41,0.3250,0.5650,,,,,,,,,0.008527,0.038644,0.038416,0.067182,0.575221,,,,,,,,0.002119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19023,8.85,0.3275,0.5975,,,,,,,,,0.008748,0.037006,0.037089,0.067514,0.548117,,,,,,,,0.004085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19024,8.05,0.3300,0.6300,,,,,,,,,0.011338,0.040994,0.040049,0.078261,0.523810,,,,,,,,0.005487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19031,8.08,0.3350,0.6050,,,,,,,,,0.012201,0.041460,0.039834,0.074876,0.553719,,,,,,,,0.002856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19032,7.18,0.3400,0.5800,,,,,,,,,0.011338,0.047354,0.044737,0.080780,0.586207,,,,,,,,0.005574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19033,6.47,0.3450,0.5550,,,,,,,,,0.010165,0.053323,0.052036,0.085781,0.621622,,,,,,,,0.010153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19034,6.57,0.3500,0.5300,,,,,,,,,0.012201,0.053272,0.055732,0.080670,0.660377,,,,,,,,0.006162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19041,6.48,0.3400,0.5200,,,,,,,,,0.011869,0.052469,0.052308,0.080247,0.653846,,,,,,,,0.003952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19042,6.51,0.3300,0.5100,,,,,,,,,0.009279,0.050691,0.050769,0.078341,0.647059,,,,,,,,0.001018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19043,7.32,0.3200,0.5000,,,,,,,,,0.006910,0.043716,0.045649,0.068306,0.640000,,,,,,,,0.002275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19044,8.25,0.3100,0.4900,,,,,,,,,0.008460,0.037576,0.037944,0.059394,0.632653,,,,,,,,0.005424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19051,9.05,0.3150,0.5350,,,,,,,,,0.008394,0.034807,0.035795,0.059116,0.588785,,,,,,,,0.002436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19052,8.60,0.3200,0.5800,,,,,,,,,0.007619,0.037209,0.037647,0.067442,0.551724,,,,,,,,0.007028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19053,9.23,0.3250,0.6250,,,,,,,,,0.007220,0.035211,0.035326,0.067714,0.520000,,,,,,,,0.003369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19054,9.54,0.3300,0.6700,,,,,,,,,0.009368,0.034591,0.035446,0.070231,0.492537,,,,,,,,0.002805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19061,9.56,0.3475,0.6925,,,,,,,,,0.011781,0.036349,0.035459,0.072437,0.501805,,,,,,,,0.003833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19062,9.30,0.3650,0.7150,,,,,,,,,0.010608,0.039247,0.039760,0.076882,0.510490,,,,,,,,0.006166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19063,10.03,0.3825,0.7375,,,,,,,,,0.010541,0.038136,0.039311,0.073529,0.518644,,,,,,,,0.003598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19064,9.84,0.4000,0.7600,,,,,,,,,0.013441,0.040650,0.040282,0.077236,0.526316,,,,,,,,0.003496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19071,8.35,0.4100,0.7350,,,,,,,,,0.012755,0.049102,0.044276,0.088024,0.557823,,,,,,,,0.021202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19072,7.84,0.4200,0.7100,,,,,,,,,0.012600,0.053571,0.051852,0.090561,0.591549,,,,,,,,0.005670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
